model,horizon_h,year_month,MAE,RMSE,R2,N
ridge_lag,48,2024-07,4.100947299246456,6.575406555883367,-0.07839588838897082,734
ridge_lag,48,2024-08,4.424068188099466,5.3286354893709955,-0.13911739736740913,734
ridge_lag,48,2024-09,2.582571985663403,2.8763950953311523,-0.7836947545691217,693
ridge_lag,48,2024-10,4.205662778956484,5.249951547032264,-0.11060511223540592,663
ridge_lag,48,2024-11,5.327532866265912,11.516599850388385,-0.2147480126966299,616
ridge_lag,48,2024-12,3.4820200664742114,4.284266003760591,-0.21229964689768765,569
ridge_lag,72,2024-01,3.994372876522341,4.591983881750879,-0.17987580890383015,530
ridge_lag,72,2024-02,4.339900708569071,5.6063996601787,-0.11623801568686232,560
ridge_lag,72,2024-03,4.229579642765313,5.3894618512481465,-0.19306241678225788,633
ridge_lag,72,2024-04,3.8502135940439257,4.488279377132127,-0.08862797046937887,646
ridge_lag,72,2024-05,3.3232383633054634,4.023260084277758,-0.12120682401702432,643
ridge_lag,72,2024-06,3.215495968057748,3.8486518934142357,-0.1154910500711368,710
ridge_lag,72,2024-07,4.082107009243393,6.683311669419071,-0.11330562919046638,734
ridge_lag,72,2024-08,4.4844212288309,5.346684776376329,-0.1166381572331594,734
ridge_lag,72,2024-09,2.6952283329152826,3.005166199956272,-1.0307666760476288,693
ridge_lag,72,2024-10,4.3758237383893155,5.3517961866697235,-0.10551543141727904,662
ridge_lag,72,2024-11,4.4041157449668535,9.040804011314155,-0.12229160756442425,618
ridge_lag,72,2024-12,3.6016839698615937,4.520403350784419,-0.11025722281030403,545
rolling_mean_168h,1,2024-01,3.648334534247663,4.520517904198123,-0.07783708774292708,698
rolling_mean_168h,1,2024-02,4.275667505739246,5.654092238342519,-0.11826686062227854,677
rolling_mean_168h,1,2024-03,3.507799500504521,5.203042025328308,-0.13093548392198695,725
rolling_mean_168h,1,2024-04,3.141637696008978,4.042764351612685,-0.03309449632509631,710
rolling_mean_168h,1,2024-05,3.253210183855127,4.034584423352841,-0.05391487846730647,729
rolling_mean_168h,1,2024-06,3.3061350649584993,4.146280486374634,-0.25342711200487567,719
rolling_mean_168h,1,2024-07,4.164641846858101,6.716873384194708,-0.13997715277745026,743
rolling_mean_168h,1,2024-08,4.994834254774435,5.849520428633208,-0.2653654770317999,743
rolling_mean_168h,1,2024-09,1.7163743615916838,2.2278935479193915,0.004293821850987478,717
rolling_mean_168h,1,2024-10,3.6197673785492226,5.173336013136964,-0.10228137295746653,734
rolling_mean_168h,1,2024-11,5.2266491297264155,12.566590408014234,-0.03743302446261909,708
rolling_mean_168h,1,2024-12,3.0501949470340786,4.131996341624559,-0.0664410564001523,725
rolling_mean_168h,6,2024-01,3.782734876552507,4.661140726956698,-0.14386328859093345,698
rolling_mean_168h,6,2024-02,4.354570157177249,5.757569249618841,-0.16442997053668074,677
rolling_mean_168h,6,2024-03,3.5530161065972665,5.279940649162541,-0.16607172761961153,725
rolling_mean_168h,6,2024-04,3.232388706822877,4.1384618702199845,-0.07338544022999693,710
rolling_mean_168h,6,2024-05,3.3071907616707454,4.09661155360459,-0.09424724876469504,729
rolling_mean_168h,6,2024-06,3.405423672325526,4.251080471086212,-0.30542394489991564,719
rolling_mean_168h,6,2024-07,4.258953910099432,6.857268487832147,-0.1968146163795852,743
rolling_mean_168h,6,2024-08,5.129432569201147,5.9862507898686435,-0.3205545029246668,743
rolling_mean_168h,6,2024-09,1.7601140729611306,2.2696877543218004,-0.025358498797997564,717
rolling_mean_168h,6,2024-10,3.690784828870976,5.272323650308221,-0.14802379538008492,734
rolling_mean_168h,6,2024-11,5.320232068211274,12.669067244439988,-0.0545519706751576,708
rolling_mean_168h,6,2024-12,3.107822364803744,4.218787435278173,-0.10472751164617078,720
rolling_mean_168h,12,2024-01,3.9604721856846252,4.8749573687095324,-0.18964415839635151,698
rolling_mean_168h,12,2024-02,4.33925493846864,5.747043449233877,-0.2043191729849605,677
rolling_mean_168h,12,2024-03,3.591599099187536,5.333991271400808,-0.1905398697513443,725
rolling_mean_168h,12,2024-04,3.3821035003772995,4.351553251320549,-0.09569885224797647,710
rolling_mean_168h,12,2024-05,3.284404952863573,4.016348191914312,-0.14548076847871183,729
rolling_mean_168h,12,2024-06,3.505880051440929,4.347220706003571,-0.3498488843198917,719
rolling_mean_168h,12,2024-07,4.340359103461986,6.9643097742593945,-0.24386873614536997,743
rolling_mean_168h,12,2024-08,5.2393359742733345,6.104185176951668,-0.3759304608560279,743
rolling_mean_168h,12,2024-09,1.8198322527129778,2.32557437677247,-0.08344882190584135,717
rolling_mean_168h,12,2024-10,3.770042673998606,5.357063044602444,-0.18555927613049872,734
rolling_mean_168h,12,2024-11,5.3393237968680545,12.645183255464964,-0.05058618978333507,708
rolling_mean_168h,12,2024-12,3.1380834384395384,4.282184645157268,-0.13410728608909706,714
rolling_mean_168h,24,2024-01,4.132410174787429,5.07195630785476,-0.21813248990337186,698
rolling_mean_168h,24,2024-02,4.253843144546006,5.708854682336768,-0.24539317636908242,677
rolling_mean_168h,24,2024-03,3.6327744048432353,5.390671323715017,-0.20119893773676378,725
rolling_mean_168h,24,2024-04,3.475790377484003,4.486507840674513,-0.14647791625226203,710
rolling_mean_168h,24,2024-05,3.305303498378364,4.018487280354268,-0.18756915648429295,729
rolling_mean_168h,24,2024-06,3.652988918348481,4.46668131485984,-0.4060304000750601,719
rolling_mean_168h,24,2024-07,4.509441166215924,7.148823777651,-0.30234639428930743,743
rolling_mean_168h,24,2024-08,5.33002728920164,6.214544582634106,-0.4708861175141046,743
rolling_mean_168h,24,2024-09,1.9475822483498175,2.4502266540931723,-0.23054634423839282,717
rolling_mean_168h,24,2024-10,3.885999446546718,5.444951610304287,-0.2208707628870401,734
rolling_mean_168h,24,2024-11,5.392601162877621,12.651850970159042,-0.05226684174350882,708
rolling_mean_168h,24,2024-12,3.220431400735709,4.421926782808821,-0.1902036217057652,702
rolling_mean_168h,48,2024-01,4.14822379797332,5.1023689404558965,-0.16810995660650607,698
rolling_mean_168h,48,2024-02,4.068498959422842,5.559149873522678,-0.23616742630887244,666
rolling_mean_168h,48,2024-03,3.717159376578741,5.489749298670491,-0.1777706397982215,736
rolling_mean_168h,48,2024-04,3.5283496925026885,4.529223314326917,-0.17918797405193665,710
rolling_mean_168h,48,2024-05,3.2840280547397294,3.9874301946586153,-0.2609484847583574,729
rolling_mean_168h,48,2024-06,3.7392148397423313,4.500457853057694,-0.41362613432753137,719
rolling_mean_168h,48,2024-07,4.778163728781622,7.376179779796264,-0.36447929502126764,743
rolling_mean_168h,48,2024-08,5.334535821646459,6.226999873586405,-0.5627233192246499,743
rolling_mean_168h,48,2024-09,2.084866919561827,2.587243694694134,-0.4176305520496286,716
rolling_mean_168h,48,2024-10,4.0212735299009434,5.463143562925164,-0.2029597060637356,735
rolling_mean_168h,48,2024-11,5.253405463783218,12.588411007576052,-0.04467460873063267,707
rolling_mean_168h,48,2024-12,3.267645095973657,4.530191862636947,-0.2112743350698838,679
rolling_mean_168h,72,2024-01,4.092964089282771,5.025830354820072,-0.11948410052407055,699
rolling_mean_168h,72,2024-02,4.169621060044676,5.624878201228088,-0.23704584595629985,659
rolling_mean_168h,72,2024-03,3.712993924994017,5.4649651565781365,-0.19016731756271366,743
rolling_mean_168h,72,2024-04,3.6284589762181887,4.631368083966433,-0.22944479238664717,710
rolling_mean_168h,72,2024-05,3.375334835155702,4.12247038927629,-0.21780754672075142,729
rolling_mean_168h,72,2024-06,3.593970637108458,4.276723820095312,-0.3733583126558413,719
rolling_mean_168h,72,2024-07,4.9085800375791395,7.360621694526551,-0.3644289971472616,743
rolling_mean_168h,72,2024-08,5.268104067772933,6.216332430926249,-0.5147106394358409,743
rolling_mean_168h,72,2024-09,2.2056560239813825,2.6781879420183765,-0.4776968022637209,716
rolling_mean_168h,72,2024-10,3.876254424781833,5.33994841681294,-0.1393106345404922,735
rolling_mean_168h,72,2024-11,5.173198210321636,12.43347738644073,-0.020475556577734588,707
rolling_mean_168h,72,2024-12,3.2421696508660225,4.576620477777274,-0.21027658140551098,655
rolling_mean_24h,1,2024-01,2.6858332907140334,3.5481494949225967,0.34074566895208247,691
rolling_mean_24h,1,2024-02,3.0140964223682465,4.443363844765018,0.3093731948168441,677
